Date,Amount,Currency,Description,Category,Sub Category,Paid By
01/12/2022,246.00,GBP,Service apartment ,Housing,Rent,
01/12/2022,1200.00,GBP,Rent Dec'22,Housing,Rent,
01/12/2022,1107.61,GBP,Deposit,Housing,Rent deposit,
01/12/2022,1.50,GBP,Iceland ,Food & Drinks,Take aways,
01/12/2022,76.00,GBP,Argos,Housing,Household Product,
02/12/2022,1.85,GBP,Iceland ,Food & Drinks,Take aways,
02/12/2022,6.00,GBP,sainsbury,Food & Drinks,Grocery,
03/12/2022,4.00,GBP,Greegs,Food & Drinks,Take aways,
03/12/2022,28.00,GBP,poundbeyond,Housing,Household Product,
03/12/2022,15.00,GBP,chopstick,Food & Drinks,Take aways,
03/12/2022,31.00,GBP,Argos,Housing,Household Product,
03/12/2022,17.00,GBP,wilko,Housing,Household Product,
03/12/2022,2.00,GBP,sainsbury,Food & Drinks,Grocery,
03/12/2022,7.00,GBP,kenyabutcher,Food & Drinks,Grocery,
03/12/2022,36.00,GBP,primark,Other,Miscellaneous,
04/12/2022,48.00,GBP,primark,Personal care,Clothing(Other),
04/12/2022,20.00,GBP,madhu ,Allowance,Allowance_Spouse,
05/12/2022,166.00,GBP,Argos,Entertainment,Gadget,
05/12/2022,4.00,GBP,sainsbury,Food & Drinks,Grocery,
05/12/2022,12.00,GBP,amazon,Housing,Household Product,
06/12/2022,4.30,GBP,Bus,Transportation,Transport_Local,
06/12/2022,29.00,GBP,cab to new home,Transportation,Transport_Other,
06/12/2022,39.00,GBP,Tesco,Food & Drinks,Grocery,
07/12/2022,22.70,GBP,Train,Transportation,Transport_Office,
07/12/2022,150.00,GBP,Reading council,Housing,Council Tax,
07/12/2022,4.30,GBP,Bus,Transportation,Transport_Local,
07/12/2022,6.00,GBP,Food at office,Food & Drinks,Take aways,
07/12/2022,5.00,GBP,SPAR,Housing,Household Product,
08/12/2022,12.00,GBP,amazon,Housing,Household Product,
08/12/2022,5.00,GBP,SPAR,Food & Drinks,Grocery,
08/12/2022,72.00,GBP,xcelentea(Tax filling),Other,Miscellaneous,
08/12/2022,9.00,GBP,EE,Utility,Phone Bill,
10/12/2022,8.60,GBP,Bus,Transportation,Transport_Local,
10/12/2022,1.00,GBP,Greegs,Food & Drinks,Eating out,
10/12/2022,42.40,GBP,primark,Housing,Household Product,
10/12/2022,23.80,GBP,wilko,Housing,Household Product,
10/12/2022,19.00,GBP,shop( Trolley),Housing,Household Product,
10/12/2022,12.75,GBP,poundland,Other,Shopping,
10/12/2022,12.99,GBP,reading fish,Food & Drinks,Grocery,
10/12/2022,6.10,GBP,cakebox,Food & Drinks,Take aways,
10/12/2022,21.96,GBP,Manzanos,Food & Drinks,Eating out,
10/12/2022,10.00,GBP,Argos,Other,Shopping,
10/12/2022,10.00,GBP,Argos,Housing,Household Product,
10/12/2022,34.86,GBP,Tesco,Food & Drinks,Grocery,
10/12/2022,77.36,GBP,Exotic,Food & Drinks,Grocery,
11/12/2022,2.00,GBP,SPAR,Food & Drinks,Grocery,
13/12/2022,7.00,GBP,SPAR,Food & Drinks,Grocery,
